GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Banco,es.iespuertolacruz.daniel.Exception,CuentaException,0,9,0,0,0,4,0,2,0,2
Banco,es.iespuertolacruz.daniel,Main,33,0,0,0,9,0,2,0,2,0
Banco,es.iespuertolacruz.daniel,Cuenta,4,88,0,6,1,30,1,15,1,12
