GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TRABAJO CON LINKEDLIST,es.ejemplos.jpexposito.excepcion,FrutaException,0,9,0,0,0,4,0,2,0,2
TRABAJO CON LINKEDLIST,es.ejemplos.jpexposito,GestionLinkedList,0,53,0,4,0,17,0,9,0,7
TRABAJO CON LINKEDLIST,es.ejemplos.jpexposito,Fruta,0,43,0,0,0,13,0,7,0,7
TRABAJO CON LINKEDLIST,es.ejemplos.jpexposito,GestionArrayList,0,36,0,2,0,11,0,6,0,5
