GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ficheros,es.iespuertolacruz.daniel.excepcion,FicheroException,5,4,0,0,2,2,1,1,1,1
ficheros,es.iespuertolacruz.daniel,Fichero,21,101,1,9,6,33,1,10,0,6
