GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mvc_taller,es.iespuertolacruz.daniel.modelo,VehiculoModelo,0,37,0,0,0,13,0,6,0,6
mvc_taller,es.iespuertolacruz.daniel.modelo,Fichero,50,202,4,18,15,61,4,17,0,10
mvc_taller,es.iespuertolacruz.daniel.controller,VehiculoController,0,102,3,15,0,32,3,14,0,8
mvc_taller,es.iespuertolacruz.daniel.api,Vehiculo,4,91,3,7,2,25,3,11,0,9
mvc_taller,es.iespuertolacruz.daniel.excepcion,VehiculoException,0,4,0,0,0,2,0,1,0,1
mvc_taller,es.iespuertolacruz.daniel.excepcion,FicheroException,5,4,0,0,2,2,1,1,1,1
